StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
1107413,29,20002291,2,2024,Bol Bol,PHO,C,0,5,33.20,50,54,8.00,13.00,61.5,6.00,10.00,60.0,2.00,3.00,66.7,1.00,2.00,50.0,5.00,6.00,11.00,2.00,0.00,3.00,8.00,9.00,19.00,36.20,38.75,-43.00,0.00,0.00
1107414,17,20002303,2,2024,Talen Horton-Tucker,UTA,SG,4,4,122.80,94,20,26.00,54.00,48.1,18.00,33.00,54.5,8.00,21.00,38.1,11.00,14.00,78.6,3.00,16.00,19.00,22.00,3.00,0.00,10.00,8.00,71.00,125.80,132.75,5.00,0.00,0.00
1107415,29,20002308,2,2024,Nassir Little,PHO,SF,1,5,64.70,104,23,12.00,26.00,46.2,8.00,14.00,57.1,4.00,12.00,33.3,2.00,4.00,50.0,1.00,15.00,16.00,7.00,3.00,0.00,1.00,10.00,30.00,67.70,68.00,23.00,0.00,0.00
1107416,28,20002312,2,2024,Terance Mann,LAC,PG,2,4,50.80,81,33,11.00,22.00,50.0,10.00,16.00,62.5,1.00,6.00,16.7,3.00,4.00,75.0,3.00,11.00,14.00,4.00,3.00,0.00,4.00,2.00,26.00,53.80,54.00,-13.00,0.00,0.00
1107417,10,20002316,2,2024,Jalen McDaniels,TOR,PF,0,3,52.30,58,3,8.00,18.00,44.4,5.00,8.00,62.5,3.00,10.00,30.0,4.00,7.00,57.1,4.00,10.00,14.00,5.00,0.00,3.00,1.00,3.00,23.00,55.30,55.00,28.00,0.00,0.00
1107418,21,20002318,2,2024,John Konchar,MEM,SG,0,1,10.90,18,14,1.00,4.00,25.0,0.00,1.00,0,1.00,3.00,33.3,2.00,2.00,100,0.00,2.00,2.00,1.00,1.00,0.00,0.00,3.00,5.00,11.90,11.50,-2.00,0.00,0.00
1107419,30,20002319,2,2024,Jaylen Nowell,SAC,SG,0,2,7.70,12,51,1.00,6.00,16.7,0.00,5.00,0,1.00,1.00,100,2.00,2.00,100,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,5.00,7.70,8.25,8.00,0.00,0.00
1107420,15,20002332,2,2024,Marques Bolden,MIL,C,0,3,20.20,33,56,1.00,7.00,14.3,1.00,5.00,20.0,0.00,2.00,0,3.00,4.00,75.0,4.00,7.00,11.00,0.00,1.00,2.00,4.00,3.00,5.00,23.20,22.75,-4.00,0.00,0.00
1107421,9,20002356,2,2024,Oshae Brissett,BOS,PF,1,5,48.40,74,46,6.00,20.00,30.0,5.00,12.00,41.7,1.00,8.00,12.5,8.00,14.00,57.1,6.00,16.00,22.00,4.00,0.00,0.00,5.00,3.00,21.00,48.40,52.50,10.00,0.00,0.00
1107422,15,20002383,2,2024,Lindell Wigginton,MIL,PG,1,3,30.40,51,31,1.00,10.00,10.0,1.00,4.00,25.0,0.00,6.00,0,3.00,5.00,60.0,0.00,7.00,7.00,8.00,4.00,2.00,7.00,3.00,5.00,36.40,34.25,-12.00,0.00,0.00
1107423,28,20002386,2,2024,Amir Coffey,LAC,PF,0,4,43.90,74,3,4.00,21.00,19.0,2.00,13.00,15.4,2.00,8.00,25.0,11.00,14.00,78.6,1.00,6.00,7.00,7.00,1.00,2.00,2.00,4.00,21.00,46.90,46.25,-9.00,0.00,0.00
1107424,14,20002444,2,2024,Jontay Porter,DET,C,0,1,8.40,9,0,1.00,2.00,50.0,1.00,1.00,100,0.00,1.00,0,0.00,0.00,0,2.00,0.00,2.00,0.00,0.00,2.00,0.00,1.00,2.00,10.40,8.50,3.00,0.00,0.00
1107425,21,20002494,2,2024,Mychal Mulder,MEM,PG,0,2,4.40,16,13,1.00,7.00,14.3,0.00,1.00,0,1.00,6.00,16.7,0.00,0.00,0,1.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,3.00,4.40,5.50,-12.00,0.00,0.00
1107426,14,20002527,2,2024,James Wiseman,DET,C,0,4,62.70,60,7,11.00,15.00,73.3,10.00,14.00,71.4,1.00,1.00,100,7.00,9.00,77.8,6.00,15.00,21.00,3.00,2.00,3.00,7.00,4.00,30.00,67.70,69.25,2.00,1.00,0.00
1107427,11,20002529,2,2024,Patrick Williams,CHI,PF,5,5,76.00,119,0,20.00,52.00,38.5,12.00,29.00,41.4,8.00,23.00,34.8,7.00,8.00,87.5,1.00,14.00,15.00,6.00,1.00,2.00,12.00,9.00,55.00,79.00,86.75,-14.00,0.00,0.00
1107428,14,20002532,2,2024,Killian Hayes,DET,PG,2,3,69.60,68,49,14.00,25.00,56.0,12.00,16.00,75.0,2.00,9.00,22.2,7.00,7.00,100,0.00,3.00,3.00,12.00,6.00,1.00,3.00,7.00,37.00,76.60,72.25,16.00,0.00,0.00
1107429,13,20002533,2,2024,Obi Toppin,IND,PF,4,4,74.10,78,47,15.00,29.00,51.7,11.00,17.00,64.7,4.00,12.00,33.3,5.00,7.00,71.4,5.00,18.00,23.00,3.00,2.00,1.00,3.00,4.00,39.00,77.10,78.75,10.00,0.00,0.00
1107430,13,20002535,2,2024,Jalen Smith,IND,PF,0,4,67.00,71,53,14.00,23.00,60.9,12.00,18.00,66.7,2.00,5.00,40.0,1.00,4.00,25.0,8.00,17.00,25.00,0.00,0.00,6.00,6.00,9.00,31.00,73.00,72.25,-8.00,0.00,0.00
1107431,13,20002537,2,2024,Tyrese Haliburton,IND,PG,2,2,70.90,51,29,9.00,20.00,45.0,7.00,8.00,87.5,2.00,12.00,16.7,9.00,11.00,81.8,0.00,7.00,7.00,17.00,5.00,1.00,4.00,1.00,29.00,76.90,74.25,27.00,0.00,0.00
1107432,13,20002539,2,2024,Aaron Nesmith,IND,PF,0,4,56.30,68,32,14.00,26.00,53.8,9.00,13.00,69.2,5.00,13.00,38.5,9.00,9.00,100,1.00,3.00,4.00,3.00,3.00,1.00,3.00,10.00,42.00,60.30,60.50,0.00,0.00,0.00
1107433,14,20002541,2,2024,Isaiah Stewart,DET,PF,4,4,83.60,87,25,16.00,36.00,44.4,12.00,15.00,80.0,4.00,21.00,19.0,6.00,8.00,75.0,4.00,14.00,18.00,6.00,2.00,6.00,5.00,12.00,42.00,91.60,89.00,-33.00,0.00,0.00
1107434,10,20002545,2,2024,Precious Achiuwa,TOR,PF,0,1,27.70,17,25,3.00,8.00,37.5,3.00,5.00,60.0,0.00,3.00,0,3.00,4.00,75.0,0.00,6.00,6.00,3.00,2.00,2.00,1.00,1.00,9.00,31.70,28.50,20.00,0.00,0.00
1107435,7,20002546,2,2024,Tyrese Maxey,PHI,PG,4,4,119.80,103,46,25.00,53.00,47.2,17.00,27.00,63.0,8.00,26.00,30.8,6.00,8.00,75.0,1.00,8.00,9.00,22.00,7.00,2.00,6.00,11.00,64.00,128.80,128.75,3.00,1.00,0.00
1107436,9,20002551,2,2024,Payton Pritchard,BOS,PG,1,5,131.80,114,54,28.00,63.00,44.4,11.00,16.00,68.8,17.00,47.00,36.2,5.00,5.00,100,1.00,8.00,9.00,24.00,7.00,0.00,7.00,7.00,78.00,138.80,144.25,30.00,0.00,0.00
1107437,29,20002552,2,2024,Udoka Azubuike,PHO,C,0,4,34.30,47,15,3.00,3.00,100,3.00,3.00,100,0.00,0.00,0,5.00,6.00,83.3,5.00,9.00,14.00,1.00,0.00,4.00,3.00,5.00,11.00,38.30,36.50,-5.00,0.00,0.00
1107438,10,20002554,2,2024,Malachi Flynn,TOR,PG,0,3,57.90,60,24,6.00,20.00,30.0,2.00,8.00,25.0,4.00,12.00,33.3,4.00,4.00,100,1.00,16.00,17.00,11.00,2.00,1.00,5.00,5.00,20.00,60.90,63.25,25.00,0.00,0.00
1107439,21,20002555,2,2024,Desmond Bane,MEM,SG,4,4,132.90,100,10,30.00,59.00,50.8,16.00,30.00,53.3,14.00,29.00,48.3,14.00,16.00,87.5,3.00,14.00,17.00,17.00,2.00,2.00,9.00,13.00,88.00,136.90,145.25,18.00,0.00,0.00
1107440,21,20002560,2,2024,Xavier Tillman Sr.,MEM,C,2,4,87.60,79,6,14.00,26.00,53.8,13.00,17.00,76.5,1.00,9.00,11.1,2.00,5.00,40.0,6.00,17.00,23.00,6.00,6.00,4.00,0.00,4.00,31.00,97.60,89.25,18.00,0.00,0.00
1107441,29,20002563,2,2024,Saben Lee,PHO,PG,1,5,101.30,105,16,14.00,38.00,36.8,11.00,31.00,35.5,3.00,7.00,42.9,26.00,29.00,89.7,6.00,8.00,14.00,19.00,3.00,1.00,9.00,11.00,57.00,105.30,108.00,-30.00,0.00,0.00
1107442,13,20002569,2,2024,Jordan Nwora,IND,PF,0,4,29.50,42,22,7.00,21.00,33.3,5.00,10.00,50.0,2.00,11.00,18.2,1.00,1.00,100,2.00,3.00,5.00,3.00,1.00,1.00,2.00,7.00,17.00,31.50,31.75,-17.00,0.00,0.00
1107443,28,20002577,2,2024,Kenyon Martin Jr.,LAC,SF,0,4,50.10,69,29,11.00,24.00,45.8,10.00,20.00,50.0,1.00,4.00,25.0,3.00,6.00,50.0,7.00,11.00,18.00,5.00,1.00,0.00,7.00,7.00,26.00,51.10,55.00,-24.00,0.00,0.00
1107444,9,20002580,2,2024,Jay Scrubb,BOS,SG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
